
2019/1/4
----------------------------------Paramater Setting----------------------------------
Using lambdaA 0.0001 using lambdaR 0.0001 using lambdaV 0.0001 using lambdaS 0.001
using Maxiter 300 init_method random fit_method False checkpoint 1000,1100
Chemical:15076	Mutation:108023	Pathway:2363	Phenotype:7732	Genes:27165	Diseases:2665
Disease-Chemical:1310249
Disease-Mutation:54032
Disease-Pathway:150855
Disease-Phenotype:1033
Disease-Disease:1826
Gene-Chemical:507004
Gene-Mutation:116033
Gene-Pathway:135345
Gene-Phenotype:160931
Gene-Gene:379235
Gene-Disease:11224532
Disease-Gene:11224532
The shape of W: 29830*163024
The shape of X: 29830*29830*2
Initialized R
step: 107 | fit: 107.00000 | delta: 1.0e+00 | secs: 6.52264
step: 108 | fit: 108.00000 | delta: 1.0e+00 | secs: 6.49633
step: 109 | fit: 109.00000 | delta: 1.0e+00 | secs: 6.44965
step: 110 | fit: 110.00000 | delta: 1.0e+00 | secs: 6.42541
step: 111 | fit: 111.00000 | delta: 1.0e+00 | secs: 6.49008
step: 112 | fit: 112.00000 | delta: 1.0e+00 | secs: 6.41547
step: 113 | fit: 113.00000 | delta: 1.0e+00 | secs: 6.47202
step: 114 | fit: 114.00000 | delta: 1.0e+00 | secs: 6.52737
step: 115 | fit: 115.00000 | delta: 1.0e+00 | secs: 6.57006
step: 116 | fit: 116.00000 | delta: 1.0e+00 | secs: 6.52038
step: 117 | fit: 117.00000 | delta: 1.0e+00 | secs: 6.52654
step: 118 | fit: 118.00000 | delta: 1.0e+00 | secs: 6.56784
step: 119 | fit: 119.00000 | delta: 1.0e+00 | secs: 6.53790
step: 120 | fit: 120.00000 | delta: 1.0e+00 | secs: 6.42507
step: 121 | fit: 121.00000 | delta: 1.0e+00 | secs: 6.65574
step: 122 | fit: 122.00000 | delta: 1.0e+00 | secs: 6.30248
step: 123 | fit: 123.00000 | delta: 1.0e+00 | secs: 6.31682
step: 124 | fit: 124.00000 | delta: 1.0e+00 | secs: 6.30943
step: 125 | fit: 125.00000 | delta: 1.0e+00 | secs: 6.31280
step: 126 | fit: 126.00000 | delta: 1.0e+00 | secs: 6.33814
